area,prov,dist,sex,area_name,sexname,rowtotal,a_below10,b_10to14,c_15to17,d_18to20,e_21to24,f_25to29,g_30to34,h_35to39,i_40t44,j_45t49,k_50plus,l_notstd
50,3,26,0,"Dhading","Both Sexes",191208,1250,15790,44866,64053,41739,18137,3899,908,289,76,46,155
50,3,26,1,"Dhading","Male",86964,196,3472,12480,28034,25225,13432,3078,689,216,58,30,54
50,3,26,2,"Dhading","Female",104244,1054,12318,32386,36019,16514,4705,821,219,73,18,16,101
50,3,27,0,"Nuwakot","Both Sexes",157537,915,15504,37114,51400,31697,15723,3742,938,301,71,31,101
50,3,27,1,"Nuwakot","Male",72481,139,3573,11314,22935,19162,11473,2828,711,216,53,27,50
50,3,27,2,"Nuwakot","Female",85056,776,11931,25800,28465,12535,4250,914,227,85,18,4,51
50,3,28,0,"Kathmandu","Both Sexes",1124494,4043,40548,146237,302803,289418,242512,77368,16415,3639,848,375,288
50,3,28,1,"Kathmandu","Male",524051,759,7316,31574,107059,141166,158364,60896,13019,2804,670,298,126
50,3,28,2,"Kathmandu","Female",600443,3284,33232,114663,195744,148252,84148,16472,3396,835,178,77,162
50,3,29,0,"Bhaktapur","Both Sexes",248774,603,10656,35676,71084,64910,48823,13836,2324,499,118,53,192
50,3,29,1,"Bhaktapur","Male",116109,117,2305,9288,27166,32833,31262,10731,1816,383,93,50,65
50,3,29,2,"Bhaktapur","Female",132665,486,8351,26388,43918,32077,17561,3105,508,116,25,3,127
50,3,30,0,"Lalitpur","Both Sexes",317008,592,12866,45257,87244,77413,65196,22495,4363,930,204,87,361
50,3,30,1,"Lalitpur","Male",148246,132,2786,11275,33486,38454,40497,17090,3440,729,147,71,139
50,3,30,2,"Lalitpur","Female",168762,460,10080,33982,53758,38959,24699,5405,923,201,57,16,222
50,3,31,0,"Kavrepalanchok","Both Sexes",218439,1365,17547,46870,70763,49524,24783,5663,1219,366,102,49,188
50,3,31,1,"Kavrepalanchok","Male",101179,287,4523,14600,31100,28196,16906,4243,897,253,75,38,61
50,3,31,2,"Kavrepalanchok","Female",117260,1078,13024,32270,39663,21328,7877,1420,322,113,27,11,127
50,3,32,0,"Ramechhap","Both Sexes",101531,248,6688,21930,35127,23429,10352,2570,717,275,66,38,91
50,3,32,1,"Ramechhap","Male",45249,55,1571,5969,14360,13575,7105,1806,501,194,44,32,37
50,3,32,2,"Ramechhap","Female",56282,193,5117,15961,20767,9854,3247,764,216,81,22,6,54
50,3,33,0,"Sindhuli","Both Sexes",164456,284,10993,39937,56131,35450,16584,3751,852,274,55,35,110
50,3,33,1,"Sindhuli","Male",74973,36,2377,10909,24209,21291,12268,2934,636,210,41,25,37
50,3,33,2,"Sindhuli","Female",89483,248,8616,29028,31922,14159,4316,817,216,64,14,10,73
50,3,34,0,"Makwanpur","Both Sexes",262840,667,17783,59073,84510,58613,31917,7714,1692,498,124,73,176
50,3,34,1,"Makwanpur","Male",123528,131,4034,17075,37464,34216,22825,5937,1240,386,93,58,69
50,3,34,2,"Makwanpur","Female",139312,536,13749,41998,47046,24397,9092,1777,452,112,31,15,107
50,3,35,0,"Chitawan","Both Sexes",420549,1916,30907,85448,125633,98180,60384,13939,2717,780,143,102,400
50,3,35,1,"Chitawan","Male",185554,249,4925,18576,47780,54469,45048,11376,2179,613,106,76,157
50,3,35,2,"Chitawan","Female",234995,1667,25982,66872,77853,43711,15336,2563,538,167,37,26,243
50,4,36,0,"Gorkha","Both Sexes",154238,1502,11018,31900,51245,34247,18226,3766,1010,280,73,54,917
50,4,36,1,"Gorkha","Male",66377,204,2101,7356,20253,19659,12673,2778,702,197,53,43,358
50,4,36,2,"Gorkha","Female",87861,1298,8917,24544,30992,14588,5553,988,308,83,20,11,559
50,4,37,0,"Manang","Both Sexes",3578,5,35,273,809,1123,914,277,104,21,9,2,6
50,4,37,1,"Manang","Male",2013,2,8,75,355,681,612,189,64,14,8,1,4
50,4,37,2,"Manang","Female",1565,3,27,198,454,442,302,88,40,7,1,1,2
50,4,38,0,"Mustang","Both Sexes",7760,8,82,576,1790,2323,1975,656,201,62,25,17,45
50,4,38,1,"Mustang","Male",4130,3,14,168,779,1311,1210,421,130,44,17,13,20
50,4,38,2,"Mustang","Female",3630,5,68,408,1011,1012,765,235,71,18,8,4,25
50,4,39,0,"Myagdi","Both Sexes",61117,97,2425,11800,19472,15634,8306,2101,642,216,71,36,317
50,4,39,1,"Myagdi","Male",26885,11,377,2489,7360,8864,5597,1425,410,140,52,30,130
50,4,39,2,"Myagdi","Female",34232,86,2048,9311,12112,6770,2709,676,232,76,19,6,187
50,4,40,0,"Kaski","Both Sexes",340107,1087,15938,55957,97700,90517,58709,14065,3134,743,219,126,1912
50,4,40,1,"Kaski","Male",147545,115,1996,9093,31041,47571,42327,11325,2442,593,161,96,785
50,4,40,2,"Kaski","Female",192562,972,13942,46864,66659,42946,16382,2740,692,150,58,30,1127
50,4,41,0,"Lamjung","Both Sexes",95700,477,5567,18063,30611,22180,13654,3076,923,265,88,45,751
50,4,41,1,"Lamjung","Male",40744,33,757,3350,10896,12577,9571,2286,675,190,62,35,312
50,4,41,2,"Lamjung","Female",54956,444,4810,14713,19715,9603,4083,790,248,75,26,10,439
50,4,42,0,"Tanahu","Both Sexes",192073,711,11537,43861,63676,43582,22080,4443,1094,287,87,62,653
50,4,42,1,"Tanahu","Male",79287,96,1552,8423,22945,25011,16376,3519,807,220,58,41,239
50,4,42,2,"Tanahu","Female",112786,615,9985,35438,40731,18571,5704,924,287,67,29,21,414
