area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
50,5,47,2,"Rukum (East)","Female",29270,325,123,60,164,103,17,61,10,11,9,10,92,28285,0
50,5,48,0,"Rolpa","Both Sexes",234793,3823,1294,454,809,848,179,432,205,73,73,52,674,225856,21
50,5,48,1,"Rolpa","Male",109871,2137,610,231,420,424,95,237,112,38,22,18,355,105158,14
50,5,48,2,"Rolpa","Female",124922,1686,684,223,389,424,84,195,93,35,51,34,319,120698,7
50,5,49,0,"Pyuthan","Both Sexes",232019,2566,956,318,620,471,85,440,233,85,46,35,462,225651,51
50,5,49,1,"Pyuthan","Male",104132,1497,469,149,311,229,37,230,116,50,22,18,251,100726,27
50,5,49,2,"Pyuthan","Female",127887,1069,487,169,309,242,48,210,117,35,24,17,211,124925,24
50,5,50,0,"Gulmi","Both Sexes",246494,2958,1110,365,696,648,110,567,447,173,28,51,679,238609,53
50,5,50,1,"Gulmi","Male",112025,1776,590,165,368,335,53,342,232,104,7,28,356,107638,31
50,5,50,2,"Gulmi","Female",134469,1182,520,200,328,313,57,225,215,69,21,23,323,130971,22
50,5,51,0,"Arghakhanchi","Both Sexes",177086,2429,953,211,466,628,99,407,329,100,47,37,540,170813,27
50,5,51,1,"Arghakhanchi","Male",80672,1412,511,115,223,324,51,228,183,54,19,19,317,77198,18
50,5,51,2,"Arghakhanchi","Female",96414,1017,442,96,243,304,48,179,146,46,28,18,223,93615,9
50,5,52,0,"Palpa","Both Sexes",245027,2674,1313,365,677,740,173,576,298,117,41,55,690,237286,22
50,5,52,1,"Palpa","Male",112761,1522,659,192,343,368,88,320,165,62,25,26,360,108617,14
50,5,52,2,"Palpa","Female",132266,1152,654,173,334,372,85,256,133,55,16,29,330,128669,8
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Both Sexes",386868,3434,1704,420,660,639,160,572,356,178,133,71,811,377677,53
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",188182,2062,784,218,324,323,76,329,195,88,51,34,427,183244,27
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",198686,1372,920,202,336,316,84,243,161,90,82,37,384,194433,26
50,5,54,0,"Rupandehi","Both Sexes",1121957,6573,3722,1005,1035,1181,216,1101,1009,447,251,167,1532,1103602,116
50,5,54,1,"Rupandehi","Male",550478,4013,1799,518,542,628,117,653,587,247,117,77,834,540282,64
50,5,54,2,"Rupandehi","Female",571479,2560,1923,487,493,553,99,448,422,200,134,90,698,563320,52
50,5,55,0,"Kapilbastu","Both Sexes",682961,4752,2570,747,826,806,214,698,654,339,116,95,1105,669990,49
50,5,55,1,"Kapilbastu","Male",334687,2859,1238,425,404,410,121,404,371,192,70,44,649,327473,27
50,5,55,2,"Kapilbastu","Female",348274,1893,1332,322,422,396,93,294,283,147,46,51,456,342517,22
50,5,56,0,"Dang","Both Sexes",674993,5032,1687,656,1239,1075,192,910,480,193,74,87,1211,662072,85
50,5,56,1,"Dang","Male",320573,2951,816,350,641,546,101,496,241,109,31,43,615,313584,49
50,5,56,2,"Dang","Female",354420,2081,871,306,598,529,91,414,239,84,43,44,596,348488,36
50,5,57,0,"Banke","Both Sexes",603194,5216,2356,746,930,943,185,635,576,331,72,104,1160,589672,268
50,5,57,1,"Banke","Male",296745,3152,1133,399,487,442,99,390,320,189,30,47,624,289298,135
50,5,57,2,"Banke","Female",306449,2064,1223,347,443,501,86,245,256,142,42,57,536,300374,133
50,5,58,0,"Bardiya","Both Sexes",459900,5325,3379,664,1014,1468,206,654,574,197,62,86,1210,444931,130
50,5,58,1,"Bardiya","Male",216766,3087,1537,339,496,713,101,370,319,109,31,37,587,208968,72
50,5,58,2,"Bardiya","Female",243134,2238,1842,325,518,755,105,284,255,88,31,49,623,235963,58
50,6,59,0,"Dolpa","Both Sexes",42774,540,117,54,191,93,10,114,20,11,1,5,65,41550,3
50,6,59,1,"Dolpa","Male",21371,325,57,29,103,43,7,58,6,4,0,3,43,20690,3
50,6,59,2,"Dolpa","Female",21403,215,60,25,88,50,3,56,14,7,1,2,22,20860,0
50,6,60,0,"Mugu","Both Sexes",64549,820,255,61,198,117,31,97,17,13,5,14,128,62790,3
50,6,60,1,"Mugu","Male",32381,516,123,27,123,61,15,58,11,5,3,5,54,31378,2
50,6,60,2,"Mugu","Female",32168,304,132,34,75,56,16,39,6,8,2,9,74,31412,1
50,6,61,0,"Humla","Both Sexes",55394,835,251,56,383,179,28,102,35,15,3,15,139,53346,7
50,6,61,1,"Humla","Male",27886,519,143,23,234,109,16,54,19,7,3,6,82,26668,3
50,6,61,2,"Humla","Female",27508,316,108,33,149,70,12,48,16,8,0,9,57,26678,4
50,6,62,0,"Jumla","Both Sexes",118349,1183,285,169,356,179,36,179,69,35,11,22,183,115517,125
50,6,62,1,"Jumla","Male",59228,728,159,90,209,98,25,104,38,17,4,7,112,57578,59
50,6,62,2,"Jumla","Female",59121,455,126,79,147,81,11,75,31,18,7,15,71,57939,66
50,6,63,0,"Kalikot","Both Sexes",145292,2141,632,193,327,309,57,184,101,40,10,35,216,141013,34
50,6,63,1,"Kalikot","Male",72245,1307,316,92,188,175,29,106,52,14,5,17,129,69792,23
50,6,63,2,"Kalikot","Female",73047,834,316,101,139,134,28,78,49,26,5,18,87,71221,11
50,6,64,0,"Dailekh","Both Sexes",252313,3741,1186,399,633,501,177,475,162,65,23,37,561,244321,32
