area,prov,dist,sex,area_name,sexname,rowtotal,a_govt,b_financl,c_nfinancl,d_nprofit,e_hhldsectr,f_notstd
50,6,62,0,"Jumla","Both Sexes",62722,3863,361,10172,250,47904,172
50,6,62,1,"Jumla","Male",31190,3011,242,5772,198,21878,89
50,6,62,2,"Jumla","Female",31532,852,119,4400,52,26026,83
50,6,63,0,"Kalikot","Both Sexes",75782,3662,259,10680,180,60940,61
50,6,63,1,"Kalikot","Male",37820,2716,161,5518,141,29255,29
50,6,63,2,"Kalikot","Female",37962,946,98,5162,39,31685,32
50,6,64,0,"Dailekh","Both Sexes",132702,5459,638,21795,299,104379,132
50,6,64,1,"Dailekh","Male",63272,3912,411,11358,221,47308,62
50,6,64,2,"Dailekh","Female",69430,1547,227,10437,78,57071,70
50,6,65,0,"Jajarkot","Both Sexes",113022,4562,479,12265,279,95380,57
50,6,65,1,"Jajarkot","Male",56614,3388,291,6464,217,46227,27
50,6,65,2,"Jajarkot","Female",56408,1174,188,5801,62,49153,30
50,6,66,0,"Rukum (West)","Both Sexes",103216,5422,481,13461,315,83462,75
50,6,66,1,"Rukum (West)","Male",49827,4095,299,7639,240,37516,38
50,6,66,2,"Rukum (West)","Female",53389,1327,182,5822,75,45946,37
50,6,67,0,"Salyan","Both Sexes",139573,5373,648,20798,268,112414,72
50,6,67,1,"Salyan","Male",67370,3744,412,11687,208,51278,41
50,6,67,2,"Salyan","Female",72203,1629,236,9111,60,61136,31
50,6,68,0,"Surkhet","Both Sexes",215532,14745,2374,55032,692,142341,348
50,6,68,1,"Surkhet","Male",106358,10995,1306,29580,498,63788,191
50,6,68,2,"Surkhet","Female",109174,3750,1068,25452,194,78553,157
50,7,69,0,"Bajura","Both Sexes",72653,3507,328,10414,137,58247,20
50,7,69,1,"Bajura","Male",34800,2727,224,5380,106,26352,11
50,7,69,2,"Bajura","Female",37853,780,104,5034,31,31895,9
50,7,70,0,"Bajhang","Both Sexes",103036,4791,389,14989,175,82652,40
50,7,70,1,"Bajhang","Male",47384,3587,265,8101,137,35277,17
50,7,70,2,"Bajhang","Female",55652,1204,124,6888,38,47375,23
50,7,71,0,"Darchula","Both Sexes",68784,5003,327,12754,126,50553,21
50,7,71,1,"Darchula","Male",33945,3795,233,6583,98,23225,11
50,7,71,2,"Darchula","Female",34839,1208,94,6171,28,27328,10
50,7,72,0,"Baitadi","Both Sexes",136750,6258,461,19546,290,110173,22
50,7,72,1,"Baitadi","Male",63832,4718,349,10897,233,47619,16
50,7,72,2,"Baitadi","Female",72918,1540,112,8649,57,62554,6
50,7,73,0,"Dadeldhura","Both Sexes",76191,4585,518,14183,145,56740,20
50,7,73,1,"Dadeldhura","Male",35619,3429,360,7977,108,23732,13
50,7,73,2,"Dadeldhura","Female",40572,1156,158,6206,37,33008,7
50,7,74,0,"Doti","Both Sexes",106194,6385,440,16076,246,83028,19
50,7,74,1,"Doti","Male",45713,4911,283,8438,177,31897,7
50,7,74,2,"Doti","Female",60481,1474,157,7638,69,51131,12
50,7,75,0,"Achham","Both Sexes",135693,6199,558,14678,283,113951,24
50,7,75,1,"Achham","Male",59897,4465,388,8070,205,46758,11
50,7,75,2,"Achham","Female",75796,1734,170,6608,78,67193,13
50,7,76,0,"Kailali","Both Sexes",469414,19777,5071,141050,2789,300442,285
50,7,76,1,"Kailali","Male",235124,14726,3043,78737,2048,136379,191
50,7,76,2,"Kailali","Female",234290,5051,2028,62313,741,164063,94
50,7,77,0,"Kanchanpur","Both Sexes",310885,11037,2496,60638,850,235726,138
50,7,77,1,"Kanchanpur","Male",143417,8354,1494,35275,617,97600,77
50,7,77,2,"Kanchanpur","Female",167468,2683,1002,25363,233,138126,61
