area,prov,dist,sex,area_name,sexname,rowtotal,a_employee,b_employer,c_ownaccount,d_familysupp,e_notstd
50,7,72,1,"Baitadi","Male",63832,13260,651,37454,12451,16
50,7,72,2,"Baitadi","Female",72918,4889,265,51591,16161,12
50,7,73,0,"Dadeldhura","Both Sexes",76191,11963,777,52163,11269,19
50,7,73,1,"Dadeldhura","Male",35619,8331,517,22035,4725,11
50,7,73,2,"Dadeldhura","Female",40572,3632,260,30128,6544,8
50,7,74,0,"Doti","Both Sexes",106194,13355,917,75984,15926,12
50,7,74,1,"Doti","Male",45713,8930,606,29395,6777,5
50,7,74,2,"Doti","Female",60481,4425,311,46589,9149,7
50,7,75,0,"Achham","Both Sexes",135693,12412,982,92997,29274,28
50,7,75,1,"Achham","Male",59897,8532,636,37652,13063,14
50,7,75,2,"Achham","Female",75796,3880,346,55345,16211,14
50,7,76,0,"Kailali","Both Sexes",469414,133243,6009,260296,69647,219
50,7,76,1,"Kailali","Male",235124,86015,4404,118328,26239,138
50,7,76,2,"Kailali","Female",234290,47228,1605,141968,43408,81
50,7,77,0,"Kanchanpur","Both Sexes",310885,60194,3089,186591,60908,103
50,7,77,1,"Kanchanpur","Male",143417,40359,2289,75557,25157,55
50,7,77,2,"Kanchanpur","Female",167468,19835,800,111034,35751,48
