area,prov,dist,agegrp,area_name,agegrpname,rowtotal,a_male,b_female
50,3,23,16,"Dolakha","75-79 Yrs.",3534,1664,1870
50,3,23,17,"Dolakha","80-84 Yrs.",1937,912,1025
50,3,23,18,"Dolakha","85-89 Yrs.",1011,454,557
50,3,23,19,"Dolakha","90-94 Yrs.",352,119,233
50,3,23,20,"Dolakha","95+ Yrs.",146,46,100
50,3,24,0,"Sindhupalchok","All Ages",262624,129205,133419
50,3,24,1,"Sindhupalchok","00-04 Yrs.",18866,9946,8920
50,3,24,2,"Sindhupalchok","05-09 Yrs.",21153,10695,10458
50,3,24,3,"Sindhupalchok","10-14 Yrs.",23418,11647,11771
50,3,24,4,"Sindhupalchok","15-19 Yrs.",24274,11875,12399
50,3,24,5,"Sindhupalchok","20-24 Yrs.",21523,10370,11153
50,3,24,6,"Sindhupalchok","25-29 Yrs.",20420,9977,10443
50,3,24,7,"Sindhupalchok","30-34 Yrs.",18019,8916,9103
50,3,24,8,"Sindhupalchok","35-39 Yrs.",17284,8235,9049
50,3,24,9,"Sindhupalchok","40-44 Yrs.",16274,7727,8547
50,3,24,10,"Sindhupalchok","45-49 Yrs.",14467,6895,7572
50,3,24,11,"Sindhupalchok","50-54 Yrs.",15713,7523,8190
50,3,24,12,"Sindhupalchok","55-59 Yrs.",12212,6156,6056
50,3,24,13,"Sindhupalchok","60-64 Yrs.",12014,5913,6101
50,3,24,14,"Sindhupalchok","65-69 Yrs.",9573,4927,4646
50,3,24,15,"Sindhupalchok","70-74 Yrs.",7853,3795,4058
50,3,24,16,"Sindhupalchok","75-79 Yrs.",4928,2431,2497
50,3,24,17,"Sindhupalchok","80-84 Yrs.",2724,1313,1411
50,3,24,18,"Sindhupalchok","85-89 Yrs.",1265,585,680
50,3,24,19,"Sindhupalchok","90-94 Yrs.",429,178,251
50,3,24,20,"Sindhupalchok","95+ Yrs.",215,101,114
50,3,25,0,"Rasuwa","All Ages",46689,24035,22654
50,3,25,1,"Rasuwa","00-04 Yrs.",3970,2012,1958
50,3,25,2,"Rasuwa","05-09 Yrs.",4025,2043,1982
50,3,25,3,"Rasuwa","10-14 Yrs.",4043,2015,2028
50,3,25,4,"Rasuwa","15-19 Yrs.",4328,2115,2213
50,3,25,5,"Rasuwa","20-24 Yrs.",4509,2403,2106
50,3,25,6,"Rasuwa","25-29 Yrs.",4108,2162,1946
50,3,25,7,"Rasuwa","30-34 Yrs.",3601,1913,1688
50,3,25,8,"Rasuwa","35-39 Yrs.",3253,1855,1398
50,3,25,9,"Rasuwa","40-44 Yrs.",2737,1383,1354
50,3,25,10,"Rasuwa","45-49 Yrs.",2367,1179,1188
50,3,25,11,"Rasuwa","50-54 Yrs.",2249,1102,1147
50,3,25,12,"Rasuwa","55-59 Yrs.",1744,901,843
50,3,25,13,"Rasuwa","60-64 Yrs.",1780,938,842
50,3,25,14,"Rasuwa","65-69 Yrs.",1477,760,717
50,3,25,15,"Rasuwa","70-74 Yrs.",1073,545,528
50,3,25,16,"Rasuwa","75-79 Yrs.",697,344,353
50,3,25,17,"Rasuwa","80-84 Yrs.",449,228,221
50,3,25,18,"Rasuwa","85-89 Yrs.",189,91,98
50,3,25,19,"Rasuwa","90-94 Yrs.",60,33,27
50,3,25,20,"Rasuwa","95+ Yrs.",30,13,17
