sex,agegrp,sexname,agegrpname,total,urban,rural,mountain,hill,tarai,province1,madhesh,bagmati,gandaki,lumbini,karnali,sudurpaschim
1,13,"Male","13 Year",281718,180859,100859,20247,113650,147821,45418,57354,52002,22617,51010,21211,32106
1,14,"Male","14 Year",299021,192174,106847,20514,118509,159998,46934,64478,53439,23585,54462,22096,34027
1,15,"Male","15 Year",305750,196845,108905,20114,120465,165171,48740,67332,56035,24077,55374,21157,33035
1,16,"Male","16 Year",306773,200564,106209,19179,118730,168864,48196,70673,58203,23627,54905,20543,30626
1,17,"Male","17 Year",272098,182072,90026,15515,112696,143887,46766,53719,57989,23174,49269,16218,24963
1,18,"Male","18 Year",360584,238602,121982,21719,134472,204393,55634,90560,71001,26578,62545,22284,31982
1,19,"Male","19 Year",249318,168976,80342,14390,107525,127403,43379,45001,58642,22171,43950,15350,20825
1,20,"Male","20 Year",331157,222960,108197,18559,124221,188377,50247,84860,69430,23831,56295,18555,27939
1,21,"Male","21 Year",233905,159437,74468,14016,103033,116856,40209,39960,56812,21119,40902,15145,19758
1,22,"Male","22 Year",280879,189639,91240,16307,110629,153943,44491,63718,62596,21052,48335,16799,23888
1,23,"Male","23 Year",223481,152626,70855,13695,98167,111619,37548,39049,56075,19288,38288,14113,19120
1,24,"Male","24 Year",231597,158005,73592,14695,99057,117845,38265,43039,57838,19148,38705,14182,20420
1,25,"Male","25 Year",278628,187255,91373,15446,102928,160254,43494,72365,60779,19226,46711,14484,21569
1,26,"Male","26 Year",228955,155724,73231,14262,97689,117004,38269,42139,57392,18242,39416,13367,20130
1,27,"Male","27 Year",191529,131118,60411,11953,83537,96039,34151,33070,49141,16143,32514,10705,15805
1,28,"Male","28 Year",258447,174617,83830,16018,105785,136644,42339,54215,62404,18981,44053,14614,21841
1,29,"Male","29 Year",164683,114237,50446,10391,78074,76218,30398,20904,45388,15978,28462,9677,13876
1,30,"Male","30 Year",288325,195183,93142,15745,100395,172185,42541,80720,60256,18438,48844,14107,23419
