area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,5,57,2,"Banke","Female",20537,20402,18,35,59,7,3,2,5,1,0,0,0,5
50,5,58,0,"Bardiya","Both Sexes",9314,8740,18,170,367,11,2,2,1,0,1,1,1,0
50,5,58,1,"Bardiya","Male",3068,2569,8,155,326,8,1,0,0,0,0,1,0,0
50,5,58,2,"Bardiya","Female",6246,6171,10,15,41,3,1,2,1,0,1,0,1,0
50,6,59,0,"Dolpa","Both Sexes",21,17,0,1,2,0,0,0,1,0,0,0,0,0
50,6,59,1,"Dolpa","Male",17,13,0,1,2,0,0,0,1,0,0,0,0,0
50,6,59,2,"Dolpa","Female",4,4,0,0,0,0,0,0,0,0,0,0,0,0
50,6,60,0,"Mugu","Both Sexes",116,94,1,5,7,0,0,0,9,0,0,0,0,0
50,6,60,1,"Mugu","Male",69,51,1,5,7,0,0,0,5,0,0,0,0,0
50,6,60,2,"Mugu","Female",47,43,0,0,0,0,0,0,4,0,0,0,0,0
50,6,61,0,"Humla","Both Sexes",22,14,0,0,0,7,0,0,0,0,0,1,0,0
50,6,61,1,"Humla","Male",16,10,0,0,0,6,0,0,0,0,0,0,0,0
50,6,61,2,"Humla","Female",6,4,0,0,0,1,0,0,0,0,0,1,0,0
50,6,62,0,"Jumla","Both Sexes",124,122,0,0,0,1,0,0,0,0,1,0,0,0
50,6,62,1,"Jumla","Male",65,64,0,0,0,0,0,0,0,0,1,0,0,0
50,6,62,2,"Jumla","Female",59,58,0,0,0,1,0,0,0,0,0,0,0,0
50,6,63,0,"Kalikot","Both Sexes",319,289,1,19,10,0,0,0,0,0,0,0,0,0
50,6,63,1,"Kalikot","Male",215,186,0,19,10,0,0,0,0,0,0,0,0,0
50,6,63,2,"Kalikot","Female",104,103,1,0,0,0,0,0,0,0,0,0,0,0
50,6,64,0,"Dailekh","Both Sexes",864,804,0,26,29,2,0,0,3,0,0,0,0,0
50,6,64,1,"Dailekh","Male",626,572,0,25,27,0,0,0,2,0,0,0,0,0
50,6,64,2,"Dailekh","Female",238,232,0,1,2,2,0,0,1,0,0,0,0,0
50,6,65,0,"Jajarkot","Both Sexes",614,494,3,58,59,0,0,0,0,0,0,0,0,0
50,6,65,1,"Jajarkot","Male",412,297,2,56,57,0,0,0,0,0,0,0,0,0
50,6,65,2,"Jajarkot","Female",202,197,1,2,2,0,0,0,0,0,0,0,0,0
50,6,66,0,"Rukum (West)","Both Sexes",11653,9861,34,936,778,29,5,2,6,0,1,0,0,1
50,6,66,1,"Rukum (West)","Male",10080,8349,27,911,751,27,5,2,6,0,1,0,0,1
50,6,66,2,"Rukum (West)","Female",1573,1512,7,25,27,2,0,0,0,0,0,0,0,0
50,6,67,0,"Salyan","Both Sexes",2006,1522,5,297,179,2,1,0,0,0,0,0,0,0
50,6,67,1,"Salyan","Male",1547,1079,2,291,172,2,1,0,0,0,0,0,0,0
50,6,67,2,"Salyan","Female",459,443,3,6,7,0,0,0,0,0,0,0,0,0
50,6,68,0,"Surkhet","Both Sexes",4891,4403,14,150,263,27,1,9,7,1,12,2,2,0
