area,prov,dist,chldtype,chldsex,area_name,typename,chldsexname,total,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
50,1,14,1,0,"Udayapur","Children Ever Born","Total",147327,1600,11070,21400,27088,30094,29366,26709
50,1,14,1,1,"Udayapur","Children Ever Born","Male",76567,838,5728,11163,13962,15618,15323,13935
50,1,14,1,2,"Udayapur","Children Ever Born","Female",70760,762,5342,10237,13126,14476,14043,12774
50,1,14,2,0,"Udayapur","Children Still Alive","Total",143092,1576,10883,21009,26467,29231,28384,25542
50,1,14,2,1,"Udayapur","Children Still Alive","Male",74010,825,5621,10911,13580,15114,14724,13235
50,1,14,2,2,"Udayapur","Children Still Alive","Female",69082,751,5262,10098,12887,14117,13660,12307
50,1,14,3,0,"Udayapur","Children Dead","Total",4235,24,187,391,621,863,982,1167
50,1,14,3,1,"Udayapur","Children Dead","Male",2557,13,107,252,382,504,599,700
50,1,14,3,2,"Udayapur","Children Dead","Female",1678,11,80,139,239,359,383,467
50,2,15,1,0,"Saptari","Children Ever Born","Total",325979,2748,31821,54786,61866,72771,55452,46535
50,2,15,1,1,"Saptari","Children Ever Born","Male",175633,1449,16838,29310,32712,38874,30437,26013
50,2,15,1,2,"Saptari","Children Ever Born","Female",150346,1299,14983,25476,29154,33897,25015,20522
50,2,15,2,0,"Saptari","Children Still Alive","Total",319921,2714,31378,54009,60840,71373,54189,45418
50,2,15,2,1,"Saptari","Children Still Alive","Male",172071,1431,16566,28846,32081,38062,29681,25404
50,2,15,2,2,"Saptari","Children Still Alive","Female",147850,1283,14812,25163,28759,33311,24508,20014
50,2,15,3,0,"Saptari","Children Dead","Total",6058,34,443,777,1026,1398,1263,1117
50,2,15,3,1,"Saptari","Children Dead","Male",3562,18,272,464,631,812,756,609
50,2,15,3,2,"Saptari","Children Dead","Female",2496,16,171,313,395,586,507,508
50,2,16,1,0,"Siraha","Children Ever Born","Total",371408,3524,37463,63691,70610,81979,60448,53693
