area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
50,4,46,0,"Baglung","Total",31388,3424,9238,13600,1648,750,352,153,136,91,69,200,438,1289
50,4,46,1,"Baglung","Male",15155,1922,4838,5412,1084,257,290,120,68,53,40,150,269,652
50,4,46,2,"Baglung","Female",16233,1502,4400,8188,564,493,62,33,68,38,29,50,169,637
50,5,47,0,"Rukum (East)","Total",4922,435,341,3089,159,191,44,14,44,10,8,24,105,458
50,5,47,1,"Rukum (East)","Male",2426,239,188,1465,108,68,40,10,11,6,5,12,56,218
50,5,47,2,"Rukum (East)","Female",2496,196,153,1624,51,123,4,4,33,4,3,12,49,240
50,5,48,0,"Rolpa","Total",14299,1465,1677,8592,417,496,254,51,143,47,77,86,77,917
50,5,48,1,"Rolpa","Male",7063,842,869,3956,279,217,202,37,50,28,40,47,39,457
50,5,48,2,"Rolpa","Female",7236,623,808,4636,138,279,52,14,93,19,37,39,38,460
50,5,49,0,"Pyuthan","Total",16215,1892,3346,7867,631,511,278,71,192,42,39,75,175,1096
50,5,49,1,"Pyuthan","Male",8028,1079,1817,3312,459,201,238,57,106,16,30,50,92,571
50,5,49,2,"Pyuthan","Female",8187,813,1529,4555,172,310,40,14,86,26,9,25,83,525
50,5,50,0,"Gulmi","Total",24483,2832,6210,11721,1001,551,295,106,135,58,41,84,235,1214
50,5,50,1,"Gulmi","Male",11849,1647,3420,4530,716,240,244,78,88,29,33,67,175,582
50,5,50,2,"Gulmi","Female",12634,1185,2790,7191,285,311,51,28,47,29,8,17,60,632
50,5,51,0,"Arghakhanchi","Total",16389,1336,3625,8890,623,410,199,85,190,30,70,61,184,686
50,5,51,1,"Arghakhanchi","Male",8108,819,1965,3729,489,184,166,65,103,17,53,50,132,336
50,5,51,2,"Arghakhanchi","Female",8281,517,1660,5161,134,226,33,20,87,13,17,11,52,350
50,5,52,0,"Palpa","Total",30752,2568,8791,13522,1543,1814,492,152,176,44,64,115,397,1074
50,5,52,1,"Palpa","Male",14587,1462,4705,5263,1004,589,431,112,94,26,39,79,241,542
50,5,52,2,"Palpa","Female",16165,1106,4086,8259,539,1225,61,40,82,18,25,36,156,532
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Total",44061,3829,14199,15777,3374,1361,872,210,263,107,85,407,1161,2416
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",22808,2096,8030,6378,2207,594,788,142,165,61,66,324,691,1266
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",21253,1733,6169,9399,1167,767,84,68,98,46,19,83,470,1150
50,5,54,0,"Rupandehi","Total",166633,14484,65789,45890,12996,7252,4037,1110,1049,382,288,1780,2990,8586
50,5,54,1,"Rupandehi","Male",86733,8014,36340,18269,8301,2623,3494,727,695,212,207,1380,1804,4667
50,5,54,2,"Rupandehi","Female",79900,6470,29449,27621,4695,4629,543,383,354,170,81,400,1186,3919
50,5,55,0,"Kapilbastu","Total",49962,5379,12121,19842,3526,1671,1036,202,694,147,119,338,1582,3305
50,5,55,1,"Kapilbastu","Male",27951,3103,7365,9222,2513,907,914,154,588,102,89,274,837,1883
50,5,55,2,"Kapilbastu","Female",22011,2276,4756,10620,1013,764,122,48,106,45,30,64,745,1422
50,5,56,0,"Dang","Total",82749,7562,24937,30418,6227,3139,1747,602,985,243,237,806,1300,4546
50,5,56,1,"Dang","Male",41220,4381,13586,12039,3909,1119,1454,389,507,128,153,552,728,2275
50,5,56,2,"Dang","Female",41529,3181,11351,18379,2318,2020,293,213,478,115,84,254,572,2271
50,5,57,0,"Banke","Total",68081,6684,21593,22281,4991,3969,1458,583,501,171,127,778,1354,3591
50,5,57,1,"Banke","Male",35227,3688,12074,9279,3244,1662,1191,430,282,105,81,540,780,1871
50,5,57,2,"Banke","Female",32854,2996,9519,13002,1747,2307,267,153,219,66,46,238,574,1720
